mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,rhoA = 0.100000,rhoB = 0.900000,data are below
sigma,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
0.100000,0.500000,1.200000,1.200000,0.500000,0.544661,0.544661,0.544661,0.544661,18.248148,18.248148,10.926550,10.926550,10.926550,10.926550,18.248148,18.248148,0.538568,0.579122,0.579122,0.538568,18.149881,18.783112,10.842192,11.392850,11.392850,10.842192,18.783112,18.149881,
0.100000,0.500000,1.212500,1.212500,0.500000,0.544950,0.544950,0.544950,0.544950,18.252791,18.252791,10.852802,10.852802,10.852802,10.852802,18.252791,18.252791,0.538826,0.579791,0.579791,0.538826,18.154055,18.793156,10.768356,11.322201,11.322201,10.768356,18.793156,18.154055,
0.100000,0.500000,1.225000,1.225000,0.500000,0.545231,0.545231,0.545231,0.545231,18.257294,18.257294,10.780001,10.780001,10.780001,10.780001,18.257294,18.257294,0.539089,0.580463,0.580463,0.539089,18.158323,18.803238,10.695670,11.252627,11.252627,10.695670,18.803238,18.158323,
0.100000,0.500000,1.237500,1.237500,0.500000,0.545504,0.545504,0.545504,0.545504,18.261662,18.261662,10.708131,10.708131,10.708131,10.708131,18.261662,18.261662,0.539345,0.581130,0.581130,0.539345,18.162477,18.813238,10.623933,11.184001,11.184001,10.623933,18.813238,18.162477,
0.100000,0.500000,1.250000,1.250000,0.500000,0.545769,0.545769,0.545769,0.545769,18.265898,18.265898,10.637174,10.637174,10.637174,10.637174,18.265898,18.265898,0.539595,0.581774,0.581774,0.539595,18.166520,18.822865,10.553127,11.116046,11.116046,10.553127,18.822865,18.166520,
0.100000,0.500000,1.262500,1.262500,0.500000,0.546026,0.546026,0.546026,0.546026,18.270007,18.270007,10.567113,10.567113,10.567113,10.567113,18.270007,18.270007,0.539838,0.582413,0.582413,0.539838,18.170456,18.832421,10.483234,11.049008,11.049008,10.483234,18.832421,18.170456,
0.100000,0.500000,1.275000,1.275000,0.500000,0.546275,0.546275,0.546275,0.546275,18.273990,18.273990,10.497930,10.497930,10.497930,10.497930,18.273990,18.273990,0.540075,0.583029,0.583029,0.540075,18.174288,18.841614,10.414237,10.982614,10.982614,10.414237,18.841614,18.174288,
0.100000,0.500000,1.287500,1.287500,0.500000,0.546516,0.546516,0.546516,0.546516,18.277854,18.277854,10.429609,10.429609,10.429609,10.429609,18.277854,18.277854,0.540305,0.583631,0.583631,0.540305,18.178017,18.850597,10.346117,10.916977,10.916977,10.346117,18.850597,18.178017,
0.100000,0.500000,1.300000,1.300000,0.500000,0.546751,0.546751,0.546751,0.546751,18.281600,18.281600,10.362134,10.362134,10.362134,10.362134,18.281600,18.281600,0.540530,0.584231,0.584231,0.540530,18.181648,18.859522,10.278860,10.852213,10.852213,10.278860,18.859522,18.181648,
0.100000,0.500000,1.312500,1.312500,0.500000,0.546978,0.546978,0.546978,0.546978,18.285232,18.285232,10.295491,10.295491,10.295491,10.295491,18.285232,18.285232,0.540749,0.584807,0.584807,0.540749,18.185182,18.868099,10.212448,10.788052,10.788052,10.212448,18.868099,18.185182,
0.100000,0.500000,1.325000,1.325000,0.500000,0.547199,0.547199,0.547199,0.547199,18.288755,18.288755,10.229664,10.229664,10.229664,10.229664,18.288755,18.288755,0.540962,0.585371,0.585371,0.540962,18.188624,18.876480,10.146865,10.724610,10.724610,10.146865,18.876480,18.188624,
0.100000,0.500000,1.337500,1.337500,0.500000,0.547413,0.547413,0.547413,0.547413,18.292170,18.292170,10.164638,10.164638,10.164638,10.164638,18.292170,18.292170,0.541169,0.585932,0.585932,0.541169,18.191974,18.884817,10.082096,10.661999,10.661999,10.082096,18.884817,18.191974,
0.100000,0.500000,1.350000,1.350000,0.500000,0.547621,0.547621,0.547621,0.547621,18.295481,18.295481,10.100398,10.100398,10.100398,10.100398,18.295481,18.295481,0.541371,0.586472,0.586472,0.541371,18.195237,18.892819,10.018127,10.599956,10.599956,10.018127,18.892819,18.195237,
0.100000,0.500000,1.362500,1.362500,0.500000,0.547822,0.547822,0.547822,0.547822,18.298691,18.298691,10.036932,10.036932,10.036932,10.036932,18.298691,18.298691,0.541568,0.587000,0.587000,0.541568,18.198413,18.900637,9.954942,10.538594,10.538594,9.954942,18.900637,18.198413,
0.100000,0.500000,1.375000,1.375000,0.500000,0.548017,0.548017,0.548017,0.548017,18.301802,18.301802,9.974224,9.974224,9.974224,9.974224,18.301802,18.301802,0.541760,0.587516,0.587516,0.541760,18.201506,18.908276,9.892528,10.477902,10.477902,9.892528,18.908276,18.201506,
0.100000,0.500000,1.387500,1.387500,0.500000,0.548207,0.548207,0.548207,0.548207,18.304818,18.304818,9.912262,9.912262,9.912262,9.912262,18.304818,18.304818,0.541947,0.588020,0.588020,0.541947,18.204517,18.915739,9.830869,10.417867,10.417867,9.830869,18.915739,18.204517,
0.100000,0.500000,1.400000,1.400000,0.500000,0.548390,0.548390,0.548390,0.548390,18.307741,18.307741,9.851033,9.851033,9.851033,9.851033,18.307741,18.307741,0.542129,0.588524,0.588524,0.542129,18.207450,18.923178,9.769954,10.358602,10.358602,9.769954,18.923178,18.207450,
0.100000,0.500000,1.412500,1.412500,0.500000,0.548568,0.548568,0.548568,0.548568,18.310575,18.310575,9.790525,9.790525,9.790525,9.790525,18.310575,18.310575,0.542306,0.589006,0.589006,0.542306,18.210306,18.930301,9.709768,10.299851,10.299851,9.709768,18.930301,18.210306,
0.100000,0.500000,1.425000,1.425000,0.500000,0.548741,0.548741,0.548741,0.548741,18.313321,18.313321,9.730724,9.730724,9.730724,9.730724,18.313321,18.313321,0.542479,0.589478,0.589478,0.542479,18.213087,18.937261,9.650298,10.241725,10.241725,9.650298,18.937261,18.213087,
0.100000,0.500000,1.437500,1.437500,0.500000,0.548908,0.548908,0.548908,0.548908,18.315982,18.315982,9.671618,9.671618,9.671618,9.671618,18.315982,18.315982,0.542647,0.589939,0.589939,0.542647,18.215796,18.944060,9.591533,10.184214,10.184214,9.591533,18.944060,18.215796,
0.100000,0.500000,1.450000,1.450000,0.500000,0.549070,0.549070,0.549070,0.549070,18.318560,18.318560,9.613197,9.613197,9.613197,9.613197,18.318560,18.318560,0.542811,0.590390,0.590390,0.542811,18.218434,18.950702,9.533459,10.127309,10.127309,9.533459,18.950702,18.218434,
0.100000,0.500000,1.462500,1.462500,0.500000,0.549227,0.549227,0.549227,0.549227,18.321058,18.321058,9.555447,9.555447,9.555447,9.555447,18.321058,18.321058,0.542971,0.590831,0.590831,0.542971,18.221003,18.957190,9.476066,10.070999,10.070999,9.476066,18.957190,18.221003,
0.100000,0.500000,1.475000,1.475000,0.500000,0.549380,0.549380,0.549380,0.549380,18.323479,18.323479,9.498359,9.498359,9.498359,9.498359,18.323479,18.323479,0.543126,0.591262,0.591262,0.543126,18.223506,18.963528,9.419339,10.015274,10.015274,9.419339,18.963528,18.223506,
0.100000,0.500000,1.487500,1.487500,0.500000,0.549527,0.549527,0.549527,0.549527,18.325823,18.325823,9.441920,9.441920,9.441920,9.441920,18.325823,18.325823,0.543278,0.591684,0.591684,0.543278,18.225943,18.969717,9.363270,9.960126,9.960126,9.363270,18.969717,18.225943,
0.100000,0.500000,1.500000,1.500000,0.500000,0.549670,0.549670,0.549670,0.549670,18.328093,18.328093,9.386120,9.386120,9.386120,9.386120,18.328093,18.328093,0.543425,0.592096,0.592096,0.543425,18.228316,18.975762,9.307845,9.905545,9.905545,9.307845,18.975762,18.228316,
0.100000,0.512500,0.500000,0.500000,0.512500,0.504677,0.504677,0.504677,0.504677,17.365408,17.365408,17.581465,17.581465,17.581465,17.581465,17.365408,17.365408,0.504865,0.504239,0.504239,0.504865,17.368674,17.357811,17.584732,17.573868,17.573868,17.584732,17.357811,17.368674,
0.100000,0.512500,0.512500,0.512500,0.512500,0.506443,0.506443,0.506443,0.506443,17.395973,17.395973,17.395973,17.395973,17.395973,17.395973,17.395973,17.395973,0.506440,0.506442,0.506442,0.506440,17.395923,17.395957,17.395923,17.395957,17.395957,17.395923,17.395957,17.395923,
0.100000,0.512500,0.525000,0.525000,0.512500,0.508157,0.508157,0.508157,0.508157,17.425527,17.425527,17.214698,17.214698,17.214698,17.214698,17.425527,17.425527,0.507874,0.508518,0.508518,0.507874,17.420654,17.431749,17.209826,17.220918,17.220918,17.209826,17.431749,17.420654,
0.100000,0.512500,0.537500,0.537500,0.512500,0.509811,0.509811,0.509811,0.509811,17.453974,17.453974,17.037337,17.037337,17.037337,17.037337,17.453974,17.453974,0.509235,0.510908,0.510908,0.509235,17.444076,17.472774,17.027445,17.056124,17.056124,17.027445,17.472774,17.444076,
