mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,sigma =0.250000,data are below
drho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,
0.010000,1.250000,1.250000,0.750000,0.750000,0.694443,0.694443,0.694443,0.694443,12.499987,12.499987,16.826909,16.826909,12.499987,12.499987,16.826909,16.826909,0.694439,0.694438,0.694439,0.694438,12.499941,12.499928,16.826859,16.826845,12.499941,12.499928,16.826859,16.826845,
0.010000,1.250000,1.250000,0.875000,0.875000,0.723067,0.723067,0.723067,0.723067,12.826399,12.826399,15.836223,15.836223,12.826399,12.826399,15.836223,15.836223,0.723063,0.723062,0.723063,0.723062,12.826352,12.826343,15.836172,15.836163,12.826352,12.826343,15.836172,15.836163,
0.010000,1.250000,1.250000,1.000000,1.000000,0.748447,0.748447,0.748447,0.748447,13.108000,13.108000,14.982235,14.982235,13.108000,13.108000,14.982235,14.982235,0.748443,0.748442,0.748443,0.748442,13.107954,13.107949,14.982187,14.982181,13.107954,13.107949,14.982187,14.982181,
0.010000,1.250000,1.250000,1.125000,1.125000,0.771362,0.771362,0.771362,0.771362,13.356174,13.356174,14.236555,14.236555,13.356174,13.356174,14.236555,14.236555,0.771357,0.771357,0.771357,0.771357,13.356126,13.356124,14.236506,14.236504,13.356126,13.356124,14.236506,14.236504,
0.010000,1.250000,1.250000,1.250000,1.250000,0.792198,0.792198,0.792198,0.792198,13.577002,13.577002,13.577002,13.577002,13.577002,13.577002,13.577002,13.577002,0.792193,0.792193,0.792193,0.792193,13.576954,13.576954,13.576954,13.576954,13.576954,13.576954,13.576954,13.576954,
0.010000,1.250000,1.250000,1.375000,1.375000,0.810799,0.810799,0.810799,0.810799,13.770373,13.770373,12.982882,12.982882,13.770373,13.770373,12.982882,12.982882,0.810795,0.810795,0.810795,0.810795,13.770325,13.770327,12.982836,12.982838,13.770325,13.770327,12.982836,12.982838,
0.010000,1.250000,1.250000,1.500000,1.500000,0.827390,0.827390,0.827390,0.827390,13.939919,13.939919,12.442542,12.442542,13.939919,13.939919,12.442542,12.442542,0.827385,0.827385,0.827385,0.827385,13.939870,13.939873,12.442495,12.442498,13.939870,13.939873,12.442495,12.442498,
0.010000,1.375000,1.375000,0.500000,0.500000,0.637924,0.637924,0.637924,0.637924,11.091997,11.091997,19.621120,19.621120,11.091997,11.091997,19.621120,19.621120,0.637921,0.637919,0.637921,0.637919,11.091959,11.091931,19.621078,19.621046,11.091959,11.091931,19.621078,19.621046,
0.010000,1.375000,1.375000,0.625000,0.625000,0.676486,0.676486,0.676486,0.676486,11.541393,11.541393,18.192288,18.192288,11.541393,11.541393,18.192288,18.192288,0.676482,0.676480,0.676482,0.676480,11.541351,11.541331,18.192240,18.192217,11.541351,11.541331,18.192240,18.192217,
0.010000,1.375000,1.375000,0.750000,0.750000,0.709881,0.709881,0.709881,0.709881,11.917149,11.917149,17.019084,17.019084,11.917149,11.917149,17.019084,17.019084,0.709877,0.709876,0.709877,0.709876,11.917107,11.917093,17.019037,17.019021,11.917107,11.917093,17.019037,17.019021,
0.010000,1.375000,1.375000,0.875000,0.875000,0.739419,0.739419,0.739419,0.739419,12.239611,12.239611,16.030328,16.030328,12.239611,12.239611,16.030328,16.030328,0.739415,0.739414,0.739415,0.739414,12.239567,12.239557,16.030280,16.030269,12.239567,12.239557,16.030280,16.030269,
0.010000,1.375000,1.375000,1.000000,1.000000,0.765648,0.765648,0.765648,0.765648,12.518488,12.518488,15.177248,15.177248,12.518488,12.518488,15.177248,15.177248,0.765644,0.765643,0.765644,0.765643,12.518443,12.518436,15.177199,15.177192,12.518443,12.518436,15.177199,15.177192,
0.010000,1.375000,1.375000,1.125000,1.125000,0.789248,0.789248,0.789248,0.789248,12.763642,12.763642,14.430568,14.430568,12.763642,12.763642,14.430568,14.430568,0.789244,0.789244,0.789244,0.789244,12.763597,12.763593,14.430521,14.430517,12.763597,12.763593,14.430521,14.430517,
0.010000,1.375000,1.375000,1.250000,1.250000,0.810799,0.810799,0.810799,0.810799,12.982882,12.982882,13.770373,13.770373,12.982882,12.982882,13.770373,13.770373,0.810795,0.810795,0.810795,0.810795,12.982838,12.982836,13.770327,13.770325,12.982838,12.982836,13.770327,13.770325,
0.010000,1.375000,1.375000,1.375000,1.375000,0.829862,0.829862,0.829862,0.829862,13.173233,13.173233,13.173233,13.173233,13.173233,13.173233,13.173233,13.173233,0.829857,0.829857,0.829857,0.829857,13.173187,13.173187,13.173187,13.173187,13.173187,13.173187,13.173187,13.173187,
0.010000,1.375000,1.375000,1.500000,1.500000,0.846412,0.846412,0.846412,0.846412,13.335855,13.335855,12.625417,12.625417,13.335855,13.335855,12.625417,12.625417,0.846408,0.846408,0.846408,0.846408,13.335809,13.335810,12.625371,12.625373,13.335809,13.335810,12.625371,12.625373,
0.010000,1.500000,1.500000,0.500000,0.500000,0.650048,0.650048,0.650048,0.650048,10.581936,10.581936,19.783238,19.783238,10.581936,10.581936,19.783238,19.783238,0.650044,0.650042,0.650044,0.650042,10.581899,10.581871,19.783196,19.783163,10.581899,10.581871,19.783196,19.783163,
0.010000,1.500000,1.500000,0.625000,0.625000,0.689643,0.689643,0.689643,0.689643,11.023492,11.023492,18.360506,18.360506,11.023492,11.023492,18.360506,18.360506,0.689640,0.689638,0.689640,0.689638,11.023454,11.023433,18.360461,18.360437,11.023454,11.023433,18.360461,18.360437,
0.010000,1.500000,1.500000,0.750000,0.750000,0.723995,0.723995,0.723995,0.723995,11.393834,11.393834,17.191259,17.191259,11.393834,11.393834,17.191259,17.191259,0.723991,0.723990,0.723991,0.723990,11.393794,11.393778,17.191213,17.191195,11.393794,11.393778,17.191213,17.191195,
0.010000,1.500000,1.500000,0.875000,0.875000,0.754337,0.754337,0.754337,0.754337,11.711557,11.711557,16.204012,16.204012,11.711557,11.711557,16.204012,16.204012,0.754333,0.754332,0.754333,0.754332,11.711515,11.711504,16.203965,16.203952,11.711515,11.711504,16.203965,16.203952,
0.010000,1.500000,1.500000,1.000000,1.000000,0.781293,0.781293,0.781293,0.781293,11.986734,11.986734,15.351350,15.351350,11.986734,11.986734,15.351350,15.351350,0.781289,0.781288,0.781289,0.781288,11.986691,11.986683,15.351304,15.351295,11.986691,11.986683,15.351304,15.351295,
0.010000,1.500000,1.500000,1.125000,1.125000,0.805589,0.805589,0.805589,0.805589,12.229247,12.229247,14.604671,14.604671,12.229247,12.229247,14.604671,14.604671,0.805585,0.805584,0.805585,0.805584,12.229204,12.229198,14.604625,14.604619,12.229204,12.229198,14.604625,14.604619,
0.010000,1.500000,1.500000,1.250000,1.250000,0.827390,0.827390,0.827390,0.827390,12.442542,12.442542,13.939919,13.939919,12.442542,12.442542,13.939919,13.939919,0.827385,0.827385,0.827385,0.827385,12.442498,12.442495,13.939873,13.939870,12.442498,12.442495,13.939873,13.939870,
0.010000,1.500000,1.500000,1.375000,1.375000,0.846412,0.846412,0.846412,0.846412,12.625417,12.625417,13.335855,13.335855,12.625417,12.625417,13.335855,13.335855,0.846408,0.846408,0.846408,0.846408,12.625373,12.625371,13.335810,13.335809,12.625373,12.625371,13.335810,13.335809,
0.010000,1.500000,1.500000,1.500000,1.500000,0.864582,0.864582,0.864582,0.864582,12.797342,12.797342,12.797342,12.797342,12.797342,12.797342,12.797342,12.797342,0.864577,0.864577,0.864577,0.864577,12.797299,12.797299,12.797299,12.797299,12.797299,12.797299,12.797299,12.797299,
0.063333,0.500000,0.500000,0.500000,0.500000,0.500768,0.500768,0.500768,0.500768,17.513430,17.513430,17.513430,17.513430,17.513430,17.513430,17.513430,17.513430,0.500764,0.500764,0.500764,0.500764,17.513355,17.513355,17.513355,17.513355,17.513355,17.513355,17.513355,17.513355,
0.063333,0.500000,0.500000,0.625000,0.625000,0.529441,0.529441,0.529441,0.529441,18.000480,18.000480,16.051433,16.051433,18.000480,18.000480,16.051433,16.051433,0.529308,0.529506,0.529308,0.529506,17.998283,18.001563,16.049249,16.052509,17.998283,18.001563,16.049249,16.052509,
0.063333,0.500000,0.500000,0.750000,0.750000,0.553703,0.553703,0.553703,0.553703,18.391911,18.391911,14.865052,14.865052,18.391911,18.391911,14.865052,14.865052,0.553386,0.553918,0.553386,0.553918,18.386912,18.395285,14.860155,14.868359,18.386912,18.395285,14.860155,14.868359,
0.063333,0.500000,0.500000,0.875000,0.875000,0.574783,0.574783,0.574783,0.574783,18.717641,18.717641,13.876147,13.876147,18.717641,18.717641,13.876147,13.876147,0.574294,0.575144,0.574294,0.575144,18.710232,18.723116,13.869022,13.881413,18.710232,18.723116,13.869022,13.881413,
