mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,rhoA = rhoB = 0.5,sigma =0.250000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,
1.000000,0.800000,0.800000,1.000000,0.800000,1.000000,1.000000,0.800000,0.500000,0.500000,1.000000,1.000000,0.593286,0.593286,0.593286,0.593286,18.993209,18.993209,13.032820,13.032820,18.993209,18.993209,13.032820,13.032820,0.592478,0.593944,0.592478,0.593944,18.981369,19.002841,13.021673,13.041892,18.981369,19.002841,13.021673,13.041892,
1.000000,0.700000,0.700000,1.000000,0.700000,1.000000,1.000000,0.700000,0.500000,0.500000,1.000000,1.000000,0.593217,0.593217,0.593217,0.593217,18.992193,18.992193,13.031863,13.031863,18.992193,18.992193,13.031863,13.031863,0.591081,0.595218,0.591081,0.595218,18.960862,19.021450,13.002379,13.059429,18.960862,19.021450,13.002379,13.059429,
1.000000,0.600000,0.600000,1.000000,0.600000,1.000000,1.000000,0.600000,0.500000,0.500000,1.000000,1.000000,0.592969,0.592969,0.592969,0.592969,18.988561,18.988561,13.028443,13.028443,18.988561,18.988561,13.028443,13.028443,0.588642,0.597216,0.588642,0.597216,18.924925,19.050550,12.968603,13.086878,18.924925,19.050550,12.968603,13.086878,
1.000000,0.500000,0.500000,1.000000,0.500000,1.000000,1.000000,0.500000,0.500000,0.500000,1.000000,1.000000,0.593108,0.593108,0.593108,0.593108,18.990610,18.990610,13.030373,13.030373,18.990610,18.990610,13.030373,13.030373,0.585446,0.600908,0.585446,0.600908,18.877592,19.104023,12.924190,13.137400,18.877592,19.104023,12.924190,13.137400,
1.000000,0.400000,0.400000,1.000000,0.400000,1.000000,1.000000,0.400000,0.500000,0.500000,1.000000,1.000000,0.593047,0.593047,0.593047,0.593047,18.989705,18.989705,13.029520,13.029520,18.989705,18.989705,13.029520,13.029520,0.580427,0.606150,0.580427,0.606150,18.802706,19.179363,12.854092,13.208762,18.802706,19.179363,12.854092,13.208762,
1.000000,0.300000,0.300000,1.000000,0.300000,1.000000,1.000000,0.300000,0.500000,0.500000,1.000000,1.000000,0.592975,0.592975,0.592975,0.592975,18.988648,18.988648,13.028525,13.028525,18.988648,18.988648,13.028525,13.028525,0.573257,0.613989,0.573257,0.613989,18.694485,19.290690,12.753151,13.314599,18.694485,19.290690,12.753151,13.314599,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.500000,1.000000,1.000000,0.592918,0.592918,0.592918,0.592918,18.987817,18.987817,13.027743,13.027743,18.987817,18.987817,13.027743,13.027743,0.563138,0.625447,0.563138,0.625447,18.539296,19.450628,12.609143,13.467466,18.539296,19.450628,12.609143,13.467466,
1.000000,0.100000,0.100000,1.000000,0.100000,1.000000,1.000000,0.100000,0.500000,0.500000,1.000000,1.000000,0.592817,0.592817,0.592817,0.592817,18.986338,18.986338,13.026350,13.026350,18.986338,18.986338,13.026350,13.026350,0.549127,0.641750,0.549127,0.641750,18.319462,19.672645,12.406627,13.681279,18.319462,19.672645,12.406627,13.681279,
1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.500000,1.000000,1.000000,0.592908,0.592908,0.592908,0.592908,18.987679,18.987679,13.027613,13.027613,18.987679,18.987679,13.027613,13.027613,0.531989,0.662790,0.531989,0.662790,18.042462,19.949987,12.153889,13.951037,18.042462,19.949987,12.153889,13.951037,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.500000,1.125000,1.125000,0.609838,0.609838,0.609838,0.609838,19.231936,19.231936,12.303359,12.303359,19.231936,19.231936,12.303359,12.303359,0.609834,0.609834,0.609834,0.609834,19.231872,19.231873,12.303300,12.303301,19.231872,19.231873,12.303300,12.303301,
1.000000,0.900000,0.900000,1.000000,0.900000,1.000000,1.000000,0.900000,0.500000,0.500000,1.125000,1.125000,0.609767,0.609767,0.609767,0.609767,19.230918,19.230918,12.302421,12.302421,19.230918,19.230918,12.302421,12.302421,0.609627,0.609825,0.609627,0.609825,19.228928,19.231746,12.300590,12.303184,19.228928,19.231746,12.300590,12.303184,
1.000000,0.800000,0.800000,1.000000,0.800000,1.000000,1.000000,0.800000,0.500000,0.500000,1.125000,1.125000,0.609667,0.609667,0.609667,0.609667,19.229496,19.229496,12.301113,12.301113,19.229496,19.229496,12.301113,12.301113,0.608679,0.610506,0.608679,0.610506,19.215444,19.241414,12.288178,12.312088,19.215444,19.241414,12.288178,12.312088,
1.000000,0.700000,0.700000,1.000000,0.700000,1.000000,1.000000,0.700000,0.500000,0.500000,1.125000,1.125000,0.609548,0.609548,0.609548,0.609548,19.227813,19.227813,12.299563,12.299563,19.227813,19.227813,12.299563,12.299563,0.606948,0.612012,0.606948,0.612012,19.190771,19.262755,12.265489,12.331758,19.190771,19.262755,12.265489,12.331758,
