mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,data are below
rho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,dR2da,
0.500000,0.500000,0.500000,1.375000,1.375000,0.638240,0.638240,0.638240,0.638240,19.625388,19.625388,11.095748,11.095748,19.625388,19.625388,11.095748,11.095748,0.638238,0.638238,0.638238,0.638238,19.625358,19.625358,11.095721,11.095721,19.625358,19.625358,11.095721,11.095721,-0.236717,
0.500000,0.500000,0.500000,1.375000,1.500000,0.641508,0.641508,0.641508,0.641508,19.669408,19.669408,11.134491,11.134491,19.669408,19.669408,10.484570,10.484570,0.641508,0.641505,0.641508,0.641505,19.669397,19.669359,11.134481,11.134448,19.669397,19.669359,10.484560,10.484528,0.430402,
0.500000,0.500000,0.500000,1.500000,0.500000,0.555778,0.555778,0.555778,0.555778,18.424553,18.424553,9.462229,9.462229,18.424553,18.424553,18.424553,18.424553,0.569651,0.545982,0.569651,0.545982,18.639527,18.269310,9.633407,9.339950,18.639527,18.269310,18.639527,18.269310,-21.114468,
0.500000,0.500000,0.500000,1.500000,0.625000,0.582158,0.582158,0.582158,0.582158,18.828613,18.828613,9.785778,9.785778,18.828613,18.828613,16.878929,16.878929,0.590565,0.575692,0.590565,0.575692,18.953279,18.731404,9.887177,9.707231,18.953279,18.731404,17.004260,16.781340,-14.459766,
0.500000,0.500000,0.500000,1.500000,0.750000,0.601577,0.601577,0.601577,0.601577,19.113683,19.113683,10.018758,10.018758,19.113683,19.113683,15.578241,15.578241,0.606475,0.597451,0.606475,0.597451,19.184008,19.053962,10.076846,9.969621,19.184008,19.053962,15.648372,15.518776,-10.006917,
0.500000,0.500000,0.500000,1.500000,0.875000,0.616098,0.616098,0.616098,0.616098,19.320372,19.320372,10.190184,10.190184,19.320372,19.320372,14.461442,14.461442,0.618786,0.613632,0.618786,0.613632,19.358039,19.285647,10.221655,10.161234,19.358039,19.285647,14.498396,14.427415,-6.890195,
0.500000,0.500000,0.500000,1.500000,1.000000,0.627126,0.627126,0.627126,0.627126,19.473784,19.473784,10.318809,10.318809,19.473784,19.473784,13.489679,13.489679,0.628433,0.625792,0.628433,0.625792,19.491769,19.455387,10.333967,10.303321,19.491769,19.455387,13.506945,13.472030,-4.655496,
0.500000,0.500000,0.500000,1.500000,1.125000,0.635494,0.635494,0.635494,0.635494,19.588201,19.588201,10.415520,10.415520,19.588201,19.588201,12.634114,12.634114,0.635990,0.634898,0.635990,0.634898,19.594936,19.580117,10.421234,10.408666,19.594936,19.580117,12.640419,12.626549,-3.012500,
0.500000,0.500000,0.500000,1.500000,1.250000,0.641866,0.641866,0.641866,0.641866,19.674206,19.674206,10.488660,10.488660,19.674206,19.674206,11.874681,11.874681,0.641937,0.641733,0.641937,0.641733,19.675158,19.672423,10.489472,10.487140,19.675158,19.672423,11.875548,11.873057,-1.793363,
0.500000,0.500000,0.500000,1.500000,1.375000,0.646699,0.646699,0.646699,0.646699,19.738808,19.738808,10.543851,10.543851,19.738808,19.738808,11.195769,11.195769,0.646699,0.646696,0.646699,0.646696,19.738798,19.738757,10.543843,10.543808,19.738798,19.738757,11.195760,11.195724,-0.882989,
0.500000,0.500000,0.500000,1.500000,1.500000,0.650336,0.650336,0.650336,0.650336,19.787058,19.787058,10.585215,10.585215,19.787058,19.787058,10.585215,10.585215,0.650334,0.650334,0.650334,0.650334,19.787028,19.787029,10.585189,10.585190,19.787028,19.787029,10.585189,10.585190,-0.203027,
0.500000,0.500000,0.625000,0.500000,0.500000,0.514767,0.514767,0.514767,0.514767,17.754661,17.754661,17.754661,17.754661,15.807480,15.807480,17.754661,17.754661,0.514423,0.515051,0.514423,0.515051,17.748813,17.759480,17.748813,17.759480,15.801685,15.812255,17.748813,17.759480,6.792292,
