mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,rhoA = rhoB = 0.5,sigma =0.100000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.200000,1.200000,0.500000,0.599111,0.599111,0.599111,0.599111,19.078043,19.078043,11.655138,11.655138,11.655138,11.655138,19.078043,19.078043,0.560701,0.654370,0.654370,0.560701,18.501472,19.840221,11.145861,12.350803,12.350803,11.145861,19.840221,18.501472,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.212500,1.212500,0.500000,0.600006,0.600006,0.600006,0.600006,19.091001,19.091001,11.586289,11.586289,11.586289,11.586289,19.091001,19.091001,0.561229,0.656135,0.656135,0.561229,18.509689,19.863360,11.074420,12.289573,12.289573,11.074420,19.863360,18.509689,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.225000,1.225000,0.500000,0.600874,0.600874,0.600874,0.600874,19.103540,19.103540,11.518095,11.518095,11.518095,11.518095,19.103540,19.103540,0.561747,0.657877,0.657877,0.561747,18.517735,19.886132,11.003881,12.228996,12.228996,11.003881,19.886132,18.517735,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.237500,1.237500,0.500000,0.601778,0.601778,0.601778,0.601778,19.116577,19.116577,11.451353,11.451353,11.451353,11.451353,19.116577,19.116577,0.562255,0.659597,0.659597,0.562255,18.525614,19.908551,10.934225,12.169065,12.169065,10.934225,19.908551,18.525614,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.250000,1.250000,0.500000,0.602622,0.602622,0.602622,0.602622,19.128734,19.128734,11.384815,11.384815,11.384815,11.384815,19.128734,19.128734,0.562753,0.661295,0.661295,0.562753,18.533331,19.930612,10.865436,12.109757,12.109757,10.865436,19.930612,18.533331,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.262500,1.262500,0.500000,0.603448,0.603448,0.603448,0.603448,19.140615,19.140615,11.319003,11.319003,11.319003,11.319003,19.140615,19.140615,0.563241,0.662971,0.662971,0.563241,18.540890,19.952328,10.797497,12.051065,12.051065,10.797497,19.952328,18.540890,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.275000,1.275000,0.500000,0.604248,0.604248,0.604248,0.604248,19.152105,19.152105,11.253794,11.253794,11.253794,11.253794,19.152105,19.152105,0.563719,0.664625,0.664625,0.563719,18.548294,19.973704,10.730392,11.992976,11.992976,10.730392,19.973704,18.548294,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.287500,1.287500,0.500000,0.605039,0.605039,0.605039,0.605039,19.163459,19.163459,11.189398,11.189398,11.189398,11.189398,19.163459,19.163459,0.564189,0.666258,0.666258,0.564189,18.555547,19.994750,10.664105,11.935481,11.935481,10.664105,19.994750,18.555547,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.300000,1.300000,0.500000,0.605814,0.605814,0.605814,0.605814,19.174561,19.174561,11.125693,11.125693,11.125693,11.125693,19.174561,19.174561,0.564649,0.667871,0.667871,0.564649,18.562653,20.015469,10.598621,11.878567,11.878567,10.598621,20.015469,18.562653,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.312500,1.312500,0.500000,0.606574,0.606574,0.606574,0.606574,19.185416,19.185416,11.062668,11.062668,11.062668,11.062668,19.185416,19.185416,0.565100,0.669454,0.669454,0.565100,18.569621,20.035749,10.533929,11.822113,11.822113,10.533929,20.035749,18.569621,
